Dataset,Classification Type,Metric,Kernel Type,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Sigma,Gamma,Total PCA Components
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4828011204481793,0.0,0.03,0.5,0.005,15
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4824649859943977,0.0,0.03,1,0.005,15
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4827450980392156,0.0,0.16,2,0.005,15
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4829131652661064,0.0,0.01,4,0.005,15
PTSD,Multi,logeuclid,Gaussian,0.0,0.4826890756302521,0.0,0.0,8,0.005,15
PTSD,Multi,logeuclid,Gaussian,0.0,0.48252100840336143,0.0,0.03,10,0.005,15
PTSD,Multi,logeuclid,Gaussian,0.0,0.4824649859943978,0.0,0.0,0.5,0.005,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.48302521008403365,0.0,0.0,1,0.005,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.4827450980392156,0.0,0.0,2,0.005,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.4828011204481792,0.0,0.0,4,0.005,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.48268907563025204,0.0,0.03,8,0.005,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.4831372549019608,0.0,0.0,10,0.005,20
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4825770308123249,0.0,0.0,0.5,0.005,25
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48252100840336143,0.0,0.0,1,0.005,25
PTSD,Multi,logeuclid,Gaussian,0.0,0.48252100840336126,0.0,0.01,2,0.005,25
PTSD,Multi,logeuclid,Gaussian,0.0,0.48285714285714276,0.0,0.0,4,0.005,25
PTSD,Multi,logeuclid,Gaussian,0.0,0.4828571428571429,0.0,0.04,8,0.005,25
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48313725490196074,0.0,0.0,10,0.005,25
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48324929971988795,0.0,0.0,0.5,0.005,30
PTSD,Multi,logeuclid,Gaussian,0.005333333333333333,0.48268907563025215,0.0,0.06,1,0.005,30
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48280112044817936,0.0,0.43,2,0.005,30
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4830252100840336,0.0,0.01,4,0.005,30
PTSD,Multi,logeuclid,Gaussian,0.0,0.48285714285714293,0.0,0.1,8,0.005,30
PTSD,Multi,logeuclid,Gaussian,0.0,0.4832492997198879,0.0,0.11,10,0.005,30
PTSD,Multi,logeuclid,Gaussian,0.0,0.4826890756302521,0.0,0.0,0.5,0.005,35
PTSD,Multi,logeuclid,Gaussian,0.002,0.4829131652661065,0.0,0.0,1,0.005,35
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48257703081232495,0.0,0.03,2,0.005,35
PTSD,Multi,logeuclid,Gaussian,0.0,0.4830812324929972,0.0,0.03,4,0.005,35
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48302521008403365,0.0,0.01,8,0.005,35
PTSD,Multi,logeuclid,Gaussian,0.0,0.4823529411764706,0.0,0.01,10,0.005,35
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48274509803921567,0.0,0.03,0.5,0.005,40
PTSD,Multi,logeuclid,Gaussian,0.0,0.4829131652661065,0.0,0.18,1,0.005,40
PTSD,Multi,logeuclid,Gaussian,0.0,0.4830812324929973,0.0,0.0,2,0.005,40
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4826330532212884,0.0,0.02,4,0.005,40
PTSD,Multi,logeuclid,Gaussian,0.0,0.4828571428571429,0.0,0.0,8,0.005,40
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4828571428571428,0.0,0.01,10,0.005,40
