Dataset,Classification Type,Metric,Kernel Type,Q,Sigma,C,D,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Gamma,Total PCA Components
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.006319681803385417,0.4825770308123249,0.0,0.03,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0008148352305094401,0.48235294117647054,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0008482933044433594,0.4829691876750701,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.000777896245320638,0.4828011204481793,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0008120377858479818,0.48263305322128847,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.000778659184773763,0.48224089635854334,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0008036136627197265,0.4826890756302521,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.000708913803100586,0.4826330532212886,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.0007506688435872396,0.4826890756302521,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.0007669607798258464,0.48302521008403354,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0007490793863932292,0.48257703081232484,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.0007862091064453125,0.4827450980392157,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.0007861773173014323,0.48268907563025204,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0008155981699625651,0.4823529411764706,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.0009079615275065105,0.4828571428571429,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.000888220469156901,0.4825210084033614,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.0014603773752848307,0.48285714285714293,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.0008819262186686198,0.4824649859943978,0.0,0.0,0.005,15
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.0009265740712483724,0.4825210084033615,0.0,0.0,0.005,20
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0009023666381835938,0.4833613445378152,0.0,0.0,0.005,20
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0008378187815348307,0.48257703081232495,0.0,0.0,0.005,20
